rr,A_frequency,NS_frequency,CNAME_frequency,SOA_frequency,NULL_frequency,PTR_frequency,HINFO_frequency,MX_frequency,TXT_frequency,AAAA_frequency,SRV_frequency,OPT_frequency,rr_type,rr_count,rr_name_entropy,rr_name_length,distinct_ns,distinct_ip,unique_country,unique_asn,distinct_domains,reverse_dns,a_records,unique_ttl,ttl_mean,ttl_variance,class
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.919874691,19,1,set(),{'DE'},{'AS8972'},{'134.119.62.218': {'erfurt-tourismus.de'}},unknown,0,"[128, 122]",125,9,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.223293925,27,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,3.105196179,23,0,set(),set(),set(),{},unknown,0,"[128, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.610061325,14,1,set(),{'CH'},{'AS35206'},{'46.232.179.141': {'erika-akire.ch'}},server3.ahja.ch,0,"[128, 128, 122, 122]",125,9,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.222463437,27,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.876015921,18,1,set(),{'DE'},{'AS8560'},{'87.106.72.197': {'ersatzteilblitz.de'}},s15247730.onlinehome-server.info,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,3.068893289,22,0,set(),set(),set(),{},unknown,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.377371297,11,1,set(),{'NL'},{'AS42567'},{'185.94.236.49': {'ersties.com'}},erstiesweb3.ersties.com,0,"[128, 122]",125,9,0
0,0,0,0,0,0,4,0,0,0,0,0,0,{'PTR'},0,3.146083994,25,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1]",1,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.451115514,12,1,set(),{'DE'},{'AS3320'},{'46.93.241.18': {'es-pahlen.de'}},p2e5df112.dip0.t-ipconnect.de,0,"[128, 128, 122, 122]",125,9,0
0,0,0,0,0,0,7,0,0,0,0,0,0,{'PTR'},0,3.10273059,24,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1, 1]",1,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.378358221,11,1,set(),{'DE'},{'AS15817'},{'31.220.121.24': {'eschborn.de'}},unknown,0,"[128, 128, 122, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.678189117,15,1,set(),{'DE'},{'AS15817'},{'31.220.121.24': {'www.eschborn.de'}},unknown,0,"[128, 128, 122, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.547562074,13,0,set(),set(),set(),{},unknown,0,[128],128,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.69193828,15,0,set(),set(),set(),{},unknown,0,[128],128,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.973617816,20,1,set(),{'DE'},{'AS43503'},{'91.203.200.42': {'eu-baustoffhandel.de'}},unknown,0,"[128, 128, 122, 122]",125,9,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.222474293,27,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,3.14987996,24,0,set(),set(),set(),{},unknown,0,"[128, 128, 122, 122]",125,9,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.223293925,27,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.622625409,14,1,set(),{'DE'},{'AS3320'},{'194.25.144.246': {'eurojackpot.de'}},a10-vip-ejpde.westlotto.de,0,"[128, 128, 122, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.864810769,18,0,set(),set(),set(),{},unknown,0,"[128, 128]",128,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.222463437,27,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.973292395,20,0,set(),set(),set(),{},unknown,0,[128],128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.376646219,11,1,set(),{'DE'},{'AS45012'},{'109.237.140.34': {'evatarot.de'}},alfa3020.alfahosting-server.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.677054052,15,1,set(),{'DE'},{'AS45012'},{'109.237.140.34': {'www.evatarot.de'}},alfa3020.alfahosting-server.de,0,"[128, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.385620691,30,0,set(),set(),set(),{},unknown,0,[128],128,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.146318645,25,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.54669068,13,1,set(),{'DE'},{'AS34788'},{'91.234.216.72': {'extratipp.com'}},unknown,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.805746132,17,1,set(),{'DE'},{'AS34788'},{'91.234.216.72': {'www.extratipp.com'}},unknown,0,"[128, 122]",125,9,0
0,0,0,0,0,0,7,0,0,0,0,0,0,{'PTR'},0,3.10273059,24,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.146083994,25,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.621933341,14,1,set(),{'US'},{'AS13335'},{'172.64.82.89': {'extremnews.com'}},unknown,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.864309655,18,1,set(),{'US'},{'AS13335'},{'172.64.90.221': {'www.extremnews.com'}},unknown,0,"[128, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.375789227,11,0,set(),set(),set(),{},unknown,0,[128],128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.449986655,12,1,set(),{'US'},{'AS13335'},{'172.64.82.150': {'f1streams.tv'}},unknown,0,"[128, 122]",125,9,0
0,0,0,0,0,0,6,0,0,0,0,0,0,{'PTR'},0,3.185808721,26,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.361128747,11,1,set(),{'DE'},{'AS9063'},{'212.88.144.12': {'factor-a.de'}},sls.hpress.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.664741597,15,1,set(),{'DE'},{'AS9063'},{'212.88.144.12': {'www.factor-a.de'}},sls.hpress.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.758301965,16,1,set(),{'DE'},{'AS47215'},{'141.101.36.6': {'fahrschulcard.de'}},141-101-36-6.cloud.de-punkt.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.974140405,20,1,set(),{'DE'},{'AS47215'},{'141.101.36.6': {'app.fahrschulcard.de'}},141-101-36-6.cloud.de-punkt.de,0,"[128, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,3.023056938,21,0,set(),set(),set(),{},unknown,0,"[128, 128, 122, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.547198992,13,1,set(),{'US'},{'AS13335'},{'172.64.90.43': {'fakewhats.com'}},unknown,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.806058539,17,1,set(),{'US'},{'AS13335'},{'172.64.82.221': {'www.fakewhats.com'}},unknown,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,1.918990232,7,1,set(),{'DE'},{'AS40988'},{'193.239.18.100': {'falk.de'}},www.falk.de,0,"[128, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.358716106,11,1,set(),{'DE'},{'AS40988'},{'193.239.18.100': {'www.falk.de'}},www.falk.de,0,"[128, 128, 122, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.281893521,10,1,set(),{'FR'},{'AS16276'},{'46.105.123.93': {'fancing.ir'}},ns384447.ip-46-105-123.eu,0,"[128, 128, 122, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.282111799,10,1,set(),{'US'},{'AS16625'},{'104.65.52.43': {'fansale.de'}},a104-65-52-43.deploy.static.akamaitechnologies.com,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.607530936,14,1,set(),{'US'},{'AS16625'},{'104.104.125.44': {'www.fansale.de'}},a104-104-125-44.deploy.static.akamaitechnologies.com,0,"[128, 122]",125,9,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.223293925,27,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
0,0,0,0,0,0,9,0,0,0,0,0,0,{'PTR'},0,3.10273059,24,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,{'PTR'},0,3.222463437,27,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1]",1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,{None},0,3.464532745,32,0,set(),set(),set(),{},unknown,0,"[128, 128, 128]",128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.621376004,14,1,set(),{'DE'},{'AS24940'},{'46.4.87.149': {'fantasywelt.de'}},fantasywelt2.timmeserver.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.863857215,18,1,set(),{'DE'},{'AS24940'},{'46.4.87.149': {'www.fantasywelt.de'}},fantasywelt2.timmeserver.de,0,"[128, 122]",125,9,0
0,0,0,0,0,0,4,0,0,0,0,0,0,{'PTR'},0,3.222242925,27,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.466200933,12,1,set(),{'US'},{'AS54113'},{'151.101.126.114': {'faqtoids.com'}},unknown,0,"[128, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.744138398,16,0,set(),set(),set(),{},unknown,0,[128],128,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,{'PTR'},0,3.223293925,27,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1]",1,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,1.917203768,7,1,set(),{'DE'},{'AS29014'},{'81.28.234.220': {'faro.de'}},unknown,0,"[128, 128, 122, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.377577761,11,1,set(),{'US'},{'AS46606'},{'162.241.24.143': {'fastepo.com'}},box5877.bluehost.com,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.820558464,17,1,set(),{'DE'},{'AS24940'},{'94.130.165.214': {'feedbackschule.de'}},static.214.165.130.94.clients.your-server.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.974466565,20,1,set(),{'DE'},{'AS6724'},{'81.169.145.93': {'wp.feedbackschule.de'}},w8d.rzone.de,0,"[128, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.449320491,12,1,set(),{'RU'},{'AS197695'},{'31.31.192.74': {'feng-shui.ua'}},feng-shui.ua,0,"[128, 128, 122, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.384705222,30,0,set(),set(),set(),{},unknown,0,[128],128,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.505063527,34,0,set(),set(),set(),{},unknown,0,[128],128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.746363457,16,1,set(),{'DE'},{'AS680'},{'132.176.114.181': {'fernuni-hagen.de'}},cl-www.fernuni-hagen.de,0,"[128, 122]",125,9,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.146083994,25,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.663554378,15,1,set(),{'CY'},{'AS204343'},{'193.109.246.49': {'ferr-um.ucoz.ru'}},dev.ucoz.net,0,"[128, 122]",125,9,0
0,0,0,0,0,0,7,0,0,0,0,0,0,{'PTR'},0,3.10273059,24,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1, 1, 1, 1]",1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,2.931524483,19,0,set(),set(),set(),{},unknown,0,[128],128,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,{'PTR'},0,3.146318645,25,0,set(),set(),set(),{},unknown,0,"[1, 1]",1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.114882781,23,0,set(),set(),set(),{},unknown,0,[128],128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.378220368,11,1,set(),{'DE'},{'AS31103'},{'87.118.81.184': {'fibucom.com'}},server901.dmsolutionsonline.de,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,3.032778952,21,0,set(),set(),set(),{},unknown,0,"[128, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.465277264,12,1,set(),{'DE'},{'AS34788'},{'85.13.139.201': {'filizity.com'}},dd19508.kasserver.com,0,"[128, 128, 122, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.743503257,16,1,set(),{'DE'},{'AS34788'},{'85.13.139.201': {'www.filizity.com'}},dd19508.kasserver.com,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.808293365,17,1,set(),{'US'},{'AS13335'},{'172.64.91.7': {'filme-onlines.com'}},unknown,0,"[128, 122]",125,9,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.820150542,17,1,set(),{'RO'},{'AS5606'},{'89.40.16.111': {'filmeserialehd.ro'}},mxhost.ro.16.40.89.in-addr.arpa,0,"[128, 128, 122, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.379596681,11,1,set(),{'CH'},{'AS47302'},{'149.126.1.56': {'findmind.ch'}},vss-losivi.cyon.net,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.377843137,11,1,set(),{'US'},{'AS16509'},{'52.29.149.157': {'findwoo.com'}},ec2-52-29-149-157.eu-central-1.compute.amazonaws.com,0,"[128, 122]",125,9,0
0,0,0,0,0,0,4,0,0,0,0,0,0,{'PTR'},0,3.185808721,26,0,set(),set(),set(),{},unknown,0,"[1, 1, 1, 1]",1,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,3.071021985,22,0,set(),set(),set(),{},unknown,0,"[128, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.232199348,26,0,set(),set(),set(),{},unknown,0,[128],128,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.053599685,8,1,set(),{'US'},{'AS13335'},{'172.64.94.211': {'fkbae.to'}},unknown,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.878461222,18,1,set(),{'US'},{'AS54113'},{'185.199.111.153': {'flamincome.finance'}},cdn-185-199-111-153.github.com,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.621894304,14,1,set(),{'NL'},{'AS15535'},{'62.129.133.177': {'flexyteens.com'}},s03.euronetgroup.com,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,2.864275732,18,1,set(),{'NL'},{'AS15535'},{'62.129.133.177': {'www.flexyteens.com'}},s03.euronetgroup.com,0,"[128, 122]",125,9,0
2,2,0,0,0,0,0,0,0,0,0,0,0,{'A'},1,3.022394511,21,0,set(),set(),set(),{},unknown,0,"[128, 122]",125,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,{'A'},0,3.191046378,25,0,set(),set(),set(),{},unknown,0,[128],128,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,{'A'},2,2.547267699,13,1,set(),{'DE'},{'AS24940'},{'178.63.45.114': {'flyerpilot.de'}},lb01.myflyerpilot.de,0,"[128, 128, 122, 122]",125,9,0
